participant_id,block,game,horizon,info_condition,reward_mean_H,reward_mean_I,trial_num,choice,reward,cumulative_reward,is_free,prompt
28,1,1,1,3.0,40.0,70.0,1,I,66.0,250.0,False,
28,1,1,1,3.0,40.0,70.0,2,I,80.0,250.0,False,
28,1,1,1,3.0,40.0,70.0,3,H,29.0,250.0,False,
28,1,1,1,3.0,40.0,70.0,4,I,75.0,250.0,False,
28,1,1,1,3.0,40.0,70.0,5,I,81.0,331.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 1. There are 5 trials in this game.', 'You are instructed to press I and get 66.0 points.', 'You are instructed to press I and get 80.0 points.', 'You are instructed to press H and get 29.0 points.', 'You are instructed to press I and get 75.0 points.']You press <<"
28,1,2,6,3.0,56.0,60.0,1,I,69.0,234.0,False,
28,1,2,6,3.0,56.0,60.0,2,I,50.0,234.0,False,
28,1,2,6,3.0,56.0,60.0,3,H,51.0,234.0,False,
28,1,2,6,3.0,56.0,60.0,4,I,64.0,234.0,False,
28,1,2,6,3.0,56.0,60.0,5,I,62.0,296.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 2. There are 10 trials in this game.', 'You are instructed to press I and get 69.0 points.', 'You are instructed to press I and get 50.0 points.', 'You are instructed to press H and get 51.0 points.', 'You are instructed to press I and get 64.0 points.']You press <<"
28,1,2,6,3.0,56.0,60.0,6,I,54.0,350.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 2. There are 10 trials in this game.', 'You are instructed to press I and get 69.0 points.', 'You are instructed to press I and get 50.0 points.', 'You are instructed to press H and get 51.0 points.', 'You are instructed to press I and get 64.0 points.', 'You press <<I>> and get 62.0 points.']You press <<"
28,1,2,6,3.0,56.0,60.0,7,I,64.0,414.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 2. There are 10 trials in this game.', 'You are instructed to press I and get 69.0 points.', 'You are instructed to press I and get 50.0 points.', 'You are instructed to press H and get 51.0 points.', 'You are instructed to press I and get 64.0 points.', 'You press <<I>> and get 62.0 points.', 'You press <<I>> and get 54.0 points.']You press <<"
28,1,2,6,3.0,56.0,60.0,8,I,64.0,478.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 2. There are 10 trials in this game.', 'You are instructed to press I and get 69.0 points.', 'You are instructed to press I and get 50.0 points.', 'You are instructed to press H and get 51.0 points.', 'You are instructed to press I and get 64.0 points.', 'You press <<I>> and get 62.0 points.', 'You press <<I>> and get 54.0 points.', 'You press <<I>> and get 64.0 points.']You press <<"
28,1,2,6,3.0,56.0,60.0,9,I,57.0,535.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 2. There are 10 trials in this game.', 'You are instructed to press I and get 69.0 points.', 'You are instructed to press I and get 50.0 points.', 'You are instructed to press H and get 51.0 points.', 'You are instructed to press I and get 64.0 points.', 'You press <<I>> and get 62.0 points.', 'You press <<I>> and get 54.0 points.', 'You press <<I>> and get 64.0 points.', 'You press <<I>> and get 64.0 points.']You press <<"
28,1,2,6,3.0,56.0,60.0,10,I,57.0,592.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 2. There are 10 trials in this game.', 'You are instructed to press I and get 69.0 points.', 'You are instructed to press I and get 50.0 points.', 'You are instructed to press H and get 51.0 points.', 'You are instructed to press I and get 64.0 points.', 'You press <<I>> and get 62.0 points.', 'You press <<I>> and get 54.0 points.', 'You press <<I>> and get 64.0 points.', 'You press <<I>> and get 64.0 points.', 'You press <<I>> and get 57.0 points.']You press <<"
28,1,3,6,2.0,40.0,36.0,1,I,31.0,136.0,False,
28,1,3,6,2.0,40.0,36.0,2,H,43.0,136.0,False,
28,1,3,6,2.0,40.0,36.0,3,I,26.0,136.0,False,
28,1,3,6,2.0,40.0,36.0,4,H,36.0,136.0,False,
28,1,3,6,2.0,40.0,36.0,5,I,44.0,180.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 3. There are 10 trials in this game.', 'You are instructed to press I and get 31.0 points.', 'You are instructed to press H and get 43.0 points.', 'You are instructed to press I and get 26.0 points.', 'You are instructed to press H and get 36.0 points.']You press <<"
28,1,3,6,2.0,40.0,36.0,6,I,43.0,223.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 3. There are 10 trials in this game.', 'You are instructed to press I and get 31.0 points.', 'You are instructed to press H and get 43.0 points.', 'You are instructed to press I and get 26.0 points.', 'You are instructed to press H and get 36.0 points.', 'You press <<I>> and get 44.0 points.']You press <<"
28,1,3,6,2.0,40.0,36.0,7,I,40.0,263.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 3. There are 10 trials in this game.', 'You are instructed to press I and get 31.0 points.', 'You are instructed to press H and get 43.0 points.', 'You are instructed to press I and get 26.0 points.', 'You are instructed to press H and get 36.0 points.', 'You press <<I>> and get 44.0 points.', 'You press <<I>> and get 43.0 points.']You press <<"
28,1,3,6,2.0,40.0,36.0,8,I,31.0,294.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 3. There are 10 trials in this game.', 'You are instructed to press I and get 31.0 points.', 'You are instructed to press H and get 43.0 points.', 'You are instructed to press I and get 26.0 points.', 'You are instructed to press H and get 36.0 points.', 'You press <<I>> and get 44.0 points.', 'You press <<I>> and get 43.0 points.', 'You press <<I>> and get 40.0 points.']You press <<"
28,1,3,6,2.0,40.0,36.0,9,I,38.0,332.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 3. There are 10 trials in this game.', 'You are instructed to press I and get 31.0 points.', 'You are instructed to press H and get 43.0 points.', 'You are instructed to press I and get 26.0 points.', 'You are instructed to press H and get 36.0 points.', 'You press <<I>> and get 44.0 points.', 'You press <<I>> and get 43.0 points.', 'You press <<I>> and get 40.0 points.', 'You press <<I>> and get 31.0 points.']You press <<"
28,1,3,6,2.0,40.0,36.0,10,I,31.0,363.0,True,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 3. There are 10 trials in this game.', 'You are instructed to press I and get 31.0 points.', 'You are instructed to press H and get 43.0 points.', 'You are instructed to press I and get 26.0 points.', 'You are instructed to press H and get 36.0 points.', 'You press <<I>> and get 44.0 points.', 'You press <<I>> and get 43.0 points.', 'You press <<I>> and get 40.0 points.', 'You press <<I>> and get 31.0 points.', 'You press <<I>> and get 38.0 points.']You press <<"
28,1,4,6,2.0,68.0,60.0,1,H,65.0,267.0,False,
28,1,4,6,2.0,68.0,60.0,2,I,77.0,267.0,False,
28,1,4,6,2.0,68.0,60.0,3,I,52.0,267.0,False,
28,1,4,6,2.0,68.0,60.0,4,H,73.0,267.0,False,
