participant_id,block,game,horizon,info_condition,reward_mean_H,reward_mean_I,trial_num,is_free,choice,model_choice,reward,cumulative_reward,log_likelihood,prompt,top2_tokens
31,1,1,6,1,40,32,5,True,H,H,53,209,-0.1611328125,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 1. There are 10 trials in this game.', 'You are instructed to press I and get 31 points.', 'You are instructed to press H and get 42 points.', 'You are instructed to press H and get 36 points.', 'You are instructed to press H and get 47 points.']You press <<","[{'token': 'H', 'prob': 0.8515625}, {'token': 'I', 'prob': 0.1484375}]"
31,1,1,6,1,40,32,6,True,I,H,28,237,-1.703125,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 1. There are 10 trials in this game.', 'You are instructed to press I and get 31 points.', 'You are instructed to press H and get 42 points.', 'You are instructed to press H and get 36 points.', 'You are instructed to press H and get 47 points.', 'You press <<H>> and get 53 points.']You press <<","[{'token': 'H', 'prob': 0.81640625}, {'token': 'I', 'prob': 0.1826171875}]"
31,1,1,6,1,40,32,7,True,I,H,30,267,-2.359375,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 1. There are 10 trials in this game.', 'You are instructed to press I and get 31 points.', 'You are instructed to press H and get 42 points.', 'You are instructed to press H and get 36 points.', 'You are instructed to press H and get 47 points.', 'You press <<H>> and get 53 points.', 'You press <<I>> and get 28 points.']You press <<","[{'token': 'H', 'prob': 0.90625}, {'token': 'I', 'prob': 0.09521484375}]"
31,1,1,6,1,40,32,8,True,H,H,40,307,-0.2275390625,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 1. There are 10 trials in this game.', 'You are instructed to press I and get 31 points.', 'You are instructed to press H and get 42 points.', 'You are instructed to press H and get 36 points.', 'You are instructed to press H and get 47 points.', 'You press <<H>> and get 53 points.', 'You press <<I>> and get 28 points.', 'You press <<I>> and get 30 points.']You press <<","[{'token': 'H', 'prob': 0.796875}, {'token': 'I', 'prob': 0.2021484375}]"
31,1,1,6,1,40,32,9,True,I,H,26,333,-1.40625,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 1. There are 10 trials in this game.', 'You are instructed to press I and get 31 points.', 'You are instructed to press H and get 42 points.', 'You are instructed to press H and get 36 points.', 'You are instructed to press H and get 47 points.', 'You press <<H>> and get 53 points.', 'You press <<I>> and get 28 points.', 'You press <<I>> and get 30 points.', 'You press <<H>> and get 40 points.']You press <<","[{'token': 'H', 'prob': 0.75390625}, {'token': 'I', 'prob': 0.2451171875}]"
31,1,1,6,1,40,32,10,True,H,H,28,361,-0.1796875,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 1. There are 10 trials in this game.', 'You are instructed to press I and get 31 points.', 'You are instructed to press H and get 42 points.', 'You are instructed to press H and get 36 points.', 'You are instructed to press H and get 47 points.', 'You press <<H>> and get 53 points.', 'You press <<I>> and get 28 points.', 'You press <<I>> and get 30 points.', 'You press <<H>> and get 40 points.', 'You press <<I>> and get 26 points.']You press <<","[{'token': 'H', 'prob': 0.8359375}, {'token': 'I', 'prob': 0.1640625}]"
31,1,2,1,2,60,48,5,True,I,H,55,243,-1.140625,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 2. There are 5 trials in this game.', 'You are instructed to press I and get 46 points.', 'You are instructed to press I and get 41 points.', 'You are instructed to press H and get 53 points.', 'You are instructed to press H and get 48 points.']You press <<","[{'token': 'H', 'prob': 0.6796875}, {'token': 'I', 'prob': 0.3203125}]"
31,1,3,1,2,60,30,5,True,H,H,67,213,-0.12890625,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 3. There are 5 trials in this game.', 'You are instructed to press H and get 48 points.', 'You are instructed to press I and get 26 points.', 'You are instructed to press H and get 51 points.', 'You are instructed to press I and get 21 points.']You press <<","[{'token': 'H', 'prob': 0.87890625}, {'token': 'I', 'prob': 0.119140625}]"
31,1,4,1,3,44,40,5,True,I,I,39,180,-0.4765625,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 4. There are 5 trials in this game.', 'You are instructed to press I and get 46 points.', 'You are instructed to press I and get 36 points.', 'You are instructed to press H and get 30 points.', 'You are instructed to press I and get 29 points.']You press <<","[{'token': 'I', 'prob': 0.62109375}, {'token': 'H', 'prob': 0.376953125}]"
31,1,5,6,2,52,40,5,True,I,I,29,215,-0.251953125,"['You are participating in multiple games involving two slot machines, labeled I and H.', 'The two slot machines are different across different games.', 'Each time you choose a slot machine, you get some points.', 'You choose a slot machine by pressing the corresponding key.', 'Each slot machine tends to pay out about the same amount of points on average.', 'Your goal is to choose the slot machines that will give you the most points across the experiment.', 'The first 4 trials in each game are instructed trials where you will be told which slot machine to choose.', 'After these instructed trials, you will have the freedom to choose for either 1 or 6 trials.', ' Game 5. There are 10 trials in this game.', 'You are instructed to press H and get 43 points.', 'You are instructed to press I and get 49 points.', 'You are instructed to press I and get 47 points.', 'You are instructed to press H and get 47 points.']You press <<","[{'token': 'I', 'prob': 0.77734375}, {'token': 'H', 'prob': 0.22265625}]"
