masked_position,original_token,prob_U_masked,prob_P_masked,delta_U,delta_P,trial_num,model_id,baseline_U,baseline_P
0,<|begin_of_text|>,0.70703125,0.294921875,-0.0703125,0.072265625,0,83811,0.77734375,0.22265625
1,,0.89453125,0.1064453125,0.1171875,-0.1162109375,0,83811,0.77734375,0.22265625
2,<|start_header_id|>,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
3,system,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
4,<|end_header_id|>,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
5,,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
6,You,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
7,are,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
8,participating,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
9,in,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
10,multiple,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
11,games,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
12,involving,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
13,two,0.81640625,0.1826171875,0.0390625,-0.0400390625,0,83811,0.77734375,0.22265625
14,slot,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
15,machines,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
16,",",0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
17,labeled,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
18,U,0.59375,0.408203125,-0.18359375,0.185546875,0,83811,0.77734375,0.22265625
19,and,0.77734375,0.22265625,0.0,0.0,0,83811,0.77734375,0.22265625
20,P,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
21,.,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
22,Your,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
23,goal,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
24,is,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
25,to,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
26,choose,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
27,the,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
28,slot,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
29,machines,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
30,that,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
31,will,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
32,give,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
33,you,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
34,the,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
35,most,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
36,points,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
37,.,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
38,You,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
39,will,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
40,receive,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
41,feedback,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
42,about,0.8359375,0.1640625,0.05859375,-0.05859375,0,83811,0.77734375,0.22265625
43,the,0.87890625,0.119140625,0.1015625,-0.103515625,0,83811,0.77734375,0.22265625
44,outcome,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
45,after,0.8515625,0.1484375,0.07421875,-0.07421875,0,83811,0.77734375,0.22265625
46,making,0.8671875,0.1328125,0.08984375,-0.08984375,0,83811,0.77734375,0.22265625
